,All Ages,<18,18-29,30-44,45+
All,"7.3
            
                
                    325,077","7.4
            
                
                    53","7.5
            
                
                    42,334","7.3
            
                
                    152,592","7.2
            
                
                    38,425"
Males,"7.3
            
                
                    199,770","7.6
            
                
                    39","7.5
            
                
                    31,838","7.3
            
                
                    120,745","7.1
            
                
                    31,688"
Females,"7.4
            
                
                    49,101","6.8
            
                
                    12","7.6
            
                
                    9,480","7.4
            
                
                    29,484","7.4
            
                
                    5,946"
