,All Ages,<18,18-29,30-44,45+
All,"6.7
            
                
                    256,392","6.2
            
                
                    28","6.8
            
                
                    24,724","6.7
            
                
                    126,816","6.6
            
                
                    32,351"
Males,"6.7
            
                
                    165,467","6.5
            
                
                    21","6.8
            
                
                    20,537","6.7
            
                
                    108,285","6.6
            
                
                    27,859"
Females,"6.6
            
                
                    25,976","5.2
            
                
                    5","6.6
            
                
                    3,499","6.5
            
                
                    17,063","6.7
            
                
                    4,005"
