,All Ages,<18,18-29,30-44,45+
All,"6.4
            
                
                    358,561","7.0
            
                
                    167","6.6
            
                
                    51,740","6.3
            
                
                    154,009","6.4
            
                
                    40,877"
Males,"6.4
            
                
                    201,516","7.1
            
                
                    110","6.5
            
                
                    36,746","6.3
            
                
                    119,846","6.4
            
                
                    33,045"
Females,"6.7
            
                
                    56,348","7.0
            
                
                    42","6.7
            
                
                    13,198","6.6
            
                
                    32,237","6.9
            
                
                    7,209"
